链路,问题,耗时ms,是否直答/缓存
A.MySQL,房东不退押金怎么办？,8.1,True
A.MySQL,押金和定金有什么区别？,6.4,True
A.MySQL,房屋维修费应该由谁承担？,6.9,True
A.MySQL,房东可以扣押租客身份证吗？,5.4,True
A.MySQL,群租房合法吗？,5.3,True
A.MySQL,房东可以随意涨房租吗？,4.8,True
A.MySQL,物业费一般由谁交？,6.0,True
A.MySQL,退租要提前多久通知房东？,5.9,True
B.Redis,房东拖欠退还押金我可以要求利息赔偿吗,2.7,True
B.Redis,租房合同到期后房东不续租需要提前通知吗,2.5,True
B.Redis,中介隐瞒房屋真实情况租客能要求退中介费吗,1.6,True
B.Redis,房东以房屋有损坏为由扣全部押金合法吗,2.2,True
B.Redis,租客可以自己装宽带并让房东报销吗,1.6,True
C.RAG,房东把房子抵押给银行还不上贷款房子被拍卖租客怎么办,7241.8,True
C.RAG,租客发现房子有严重噪音污染影响睡眠可以要求退租吗,8061.4,True
C.RAG,租客发现卫生间漏水房东拖延不修可以拒交房租吗,9162.3,True
C.RAG,租客在阳台违规搭建被物业处罚责任谁来承担,7353.0,True
C.RAG,租客在房间里私自安装大功率电器导致线路跳闸损失谁负责,8044.1,True
