qid,question,difficulty,strategy,faithfulness,citation,completeness,docs,sources,retr_ms,gen_ms,answer_len
Q1,房东拖延退押金可以要求利息赔偿吗,困难,B_纯稠密,2,2,3,5,"住房租赁条例,民法典,租赁合同纠纷裁判规则",2161.6,7806.4,415
Q1,房东拖延退押金可以要求利息赔偿吗,困难,C_混合无Rerank,5,5,4,5,"住房租赁条例,民事诉讼法,民法典",381.2,6035.7,425
Q1,房东拖延退押金可以要求利息赔偿吗,困难,D_混合+Rerank,4,4,4,5,"住房租赁条例,民事诉讼法,民法典",28068.2,5720.5,378
Q2,房东以房屋有损坏为由扣全部押金合法吗,中等,B_纯稠密,4,5,3,5,"住房租赁条例,商品房屋租赁管理办法,民法典,租赁合同纠纷裁判规则",329.3,4697.8,304
Q2,房东以房屋有损坏为由扣全部押金合法吗,中等,C_混合无Rerank,3,4,4,5,"住房租赁条例,商品房屋租赁管理办法",291.8,4311.8,281
Q2,房东以房屋有损坏为由扣全部押金合法吗,中等,D_混合+Rerank,5,5,5,5,"住房租赁条例,商品房屋租赁管理办法,民法典",28108.3,5472.6,357
Q3,提前退租押金能要回来吗,中等,B_纯稠密,3,2,4,5,"住房租赁条例,民法典,租赁合同纠纷裁判规则",391.1,7912.2,496
Q3,提前退租押金能要回来吗,中等,C_混合无Rerank,4,4,3,5,"住房租赁条例,民法典,租赁合同纠纷裁判规则",346.7,2703.7,166
Q3,提前退租押金能要回来吗,中等,D_混合+Rerank,5,5,5,5,"住房租赁条例,商品房屋租赁管理办法,民法典,租赁合同纠纷裁判规则",27964.6,4325.4,256
Q4,押金和定金有什么区别？租房时交的是哪个,简单,B_纯稠密,3,3,3,5,"住房租赁条例,民法典",373.2,4115.7,233
Q4,押金和定金有什么区别？租房时交的是哪个,简单,C_混合无Rerank,5,5,5,5,"住房租赁条例,民法典",418.2,5257.6,338
Q4,押金和定金有什么区别？租房时交的是哪个,简单,D_混合+Rerank,5,5,5,5,"住房租赁条例,商品房屋租赁管理办法,租赁合同纠纷裁判规则",29471.2,4094.5,249
Q5,租客提前退租需要承担什么责任,中等,B_纯稠密,0,0,1,5,"商品房屋租赁管理办法,民法典",446.7,2025.0,101
Q5,租客提前退租需要承担什么责任,中等,C_混合无Rerank,1,0,2,5,"商品房屋租赁管理办法,民法典",340.3,2191.4,120
Q5,租客提前退租需要承担什么责任,中等,D_混合+Rerank,3,3,3,5,"商品房屋租赁管理办法,民法典,租赁合同纠纷裁判规则",28690.6,8423.9,528
Q6,房东卖房后租客能拒绝搬走吗,中等,B_纯稠密,3,3,3,5,"商品房屋租赁管理办法,民法典",310.3,1439.0,69
Q6,房东卖房后租客能拒绝搬走吗,中等,C_混合无Rerank,5,5,5,5,"商品房屋租赁管理办法,民法典,租赁合同纠纷裁判规则",265.1,2075.0,123
Q6,房东卖房后租客能拒绝搬走吗,中等,D_混合+Rerank,2,1,4,5,"住房租赁条例,商品房屋租赁管理办法,民事诉讼法,民法典",28274.8,5678.6,343
Q7,租客可以装修房屋抵扣租金吗,困难,B_纯稠密,5,5,4,5,"住房租赁条例,商品房屋租赁管理办法,租赁合同纠纷裁判规则",532.4,2747.5,152
Q7,租客可以装修房屋抵扣租金吗,困难,C_混合无Rerank,5,5,5,5,"商品房屋租赁管理办法,民法典,租赁合同纠纷裁判规则",302.6,3009.9,177
Q7,租客可以装修房屋抵扣租金吗,困难,D_混合+Rerank,5,3,3,5,"住房租赁条例,商品房屋租赁管理办法,租赁合同纠纷裁判规则",28882.9,2553.2,133
Q8,未经房东同意转租会有什么后果,中等,B_纯稠密,3,3,3,5,"住房租赁条例,商品房屋租赁管理办法,民法典,租赁合同纠纷裁判规则",559.2,2201.1,131
Q8,未经房东同意转租会有什么后果,中等,C_混合无Rerank,4,4,4,5,"住房租赁条例,商品房屋租赁管理办法,民法典,租赁合同纠纷裁判规则",276.4,2189.7,133
Q8,未经房东同意转租会有什么后果,中等,D_混合+Rerank,2,2,3,5,"住房租赁条例,商品房屋租赁管理办法,租赁合同纠纷裁判规则",29382.3,1172.8,46
