qid,strategy,cited_refs,supported,honest_noted,hallucinated,truth_rate,hallucination_rate
Q1,B_纯稠密,7,5,2,1,0.9167,0.1429
Q1,C_混合无Rerank,5,3,0,2,0.8333,0.4
Q1,D_混合+Rerank,5,4,0,1,0.9333,0.2
Q2,B_纯稠密,2,2,0,0,1.0,0.0
Q2,C_混合无Rerank,2,2,0,0,1.0,0.0
Q2,D_混合+Rerank,1,1,0,0,1.0,0.0
Q3,B_纯稠密,6,6,0,0,1.0,0.0
Q3,C_混合无Rerank,4,3,0,1,0.8889,0.25
Q3,D_混合+Rerank,2,1,1,0,1.0,0.0
Q4,B_纯稠密,4,4,0,0,1.0,0.0
Q4,C_混合无Rerank,7,7,0,0,1.0,0.0
Q4,D_混合+Rerank,6,4,1,2,0.8667,0.3333
Q5,B_纯稠密,8,6,2,1,0.9444,0.125
Q5,C_混合无Rerank,6,4,2,0,1.0,0.0
Q5,D_混合+Rerank,6,2,1,4,0.4722,0.6667
Q6,B_纯稠密,1,1,0,0,1.0,0.0
Q6,C_混合无Rerank,1,1,0,0,1.0,0.0
Q6,D_混合+Rerank,1,0,1,0,1.0,0.0
Q7,B_纯稠密,3,0,0,3,0.0,1.0
Q7,C_混合无Rerank,1,1,0,0,1.0,0.0
Q7,D_混合+Rerank,0,0,0,0,,
Q8,B_纯稠密,2,2,0,0,1.0,0.0
Q8,C_混合无Rerank,2,2,0,0,1.0,0.0
Q8,D_混合+Rerank,1,1,0,0,1.0,0.0
