策略,问题ID,类别,问题,Recall@5,MRR,耗时(ms),检索文档数,相关文档数
A_纯BM25,1,押金退还,租房到期后房东不退押金怎么办？,1.0,1.0,1063.8,5,3
A_纯BM25,2,押金退还,房东以房屋有损坏为由扣全部押金合法吗？,0.0,0.0,4.9,5,0
A_纯BM25,3,押金退还,提前退租押金能要回来吗？,1.0,1.0,3.1,5,3
A_纯BM25,4,押金退还,押金和定金有什么区别？租房时交的是哪个？,1.0,1.0,3.0,5,2
A_纯BM25,5,押金退还,房东拖延退押金可以要求利息赔偿吗？,0.0,0.0,2.5,5,0
A_纯BM25,6,合同签订,租房合同必须书面签订吗？口头约定有效吗？,1.0,1.0,2.5,5,1
A_纯BM25,7,合同签订,签租房合同需要注意哪些条款？,1.0,1.0,2.4,5,2
A_纯BM25,8,合同签订,二房东转租的房子能签合同吗？有什么风险？,1.0,1.0,2.1,5,2
A_纯BM25,9,合同签订,租房合同最长期限是多久？超过了怎么办？,1.0,0.3333,2.8,5,2
A_纯BM25,10,提前退租,租客提前退租需要承担什么责任？,1.0,1.0,2.3,5,3
A_纯BM25,11,提前退租,因为工作调动必须提前退租，能减免违约金吗？,1.0,1.0,2.1,5,3
A_纯BM25,12,提前退租,房东提前收回房子需要赔偿租客吗？,1.0,1.0,2.7,5,1
A_纯BM25,13,提前退租,什么情况下租客可以无条件解除租赁合同？,1.0,1.0,2.6,5,1
A_纯BM25,14,维修责任,租房期间家电坏了谁负责维修？,1.0,1.0,2.6,5,3
A_纯BM25,15,维修责任,房东不修东西租客可以自行维修然后扣房租吗？,0.0,0.0,2.9,5,0
A_纯BM25,16,维修责任,房屋漏水导致租客物品损坏，房东要赔偿吗？,1.0,1.0,2.8,5,2
A_纯BM25,17,房东卖房,房东卖房后新房东能赶走租客吗？,1.0,0.5,3.4,5,1
A_纯BM25,18,房东卖房,租客有优先购买权吗？怎么行使？,1.0,1.0,2.5,5,2
A_纯BM25,19,房东卖房,房东没通知租客就把房子卖了，租客能主张什么权利？,0.0,0.0,2.9,5,0
A_纯BM25,20,租金上涨,合同期内房东能涨房租吗？,1.0,1.0,2.4,5,1
A_纯BM25,21,租金上涨,合同到期后续租房东漫天涨价怎么办？,0.0,0.0,2.5,5,0
A_纯BM25,22,转租,租客可以把房子转租给别人吗？,1.0,0.3333,2.4,5,1
A_纯BM25,23,转租,未经房东同意转租会有什么后果？,1.0,0.3333,2.0,5,1
A_纯BM25,24,违约责任,租房合同违约金一般是多少？过高能要求减少吗？,1.0,1.0,2.1,5,1
A_纯BM25,25,违约责任,租客拖欠房租多久房东可以解除合同？,0.0,0.0,2.5,5,0
A_纯BM25,26,违约责任,合同没写违约金，一方违约了能要求赔偿吗？,1.0,0.5,2.0,5,2
A_纯BM25,27,居住安全,出租房甲醛超标租客可以要求退房并赔偿吗？,1.0,1.0,2.7,5,1
