学科名称,问题,答案
劳动法,劳动合同的试用期最长不得超过多久？,根据《劳动合同法》第十九条规定：劳动合同期限三个月以上不满一年的，试用期不得超过一个月；劳动合同期限一年以上不满三年的，试用期不得超过二个月；三年以上固定期限和无固定期限的劳动合同，试用期不得超过六个月。同一用人单位与同一劳动者只能约定一次试用期。
劳动法,劳动者在哪些情况下可以单方解除劳动合同？,根据《劳动合同法》第三十八条：用人单位有下列情形之一的，劳动者可以解除劳动合同：（一）未按照劳动合同约定提供劳动保护或者劳动条件的；（二）未及时足额支付劳动报酬的；（三）未依法为劳动者缴纳社会保险费的；（四）用人单位的规章制度违反法律、法规的规定，损害劳动者权益的；（五）因本法第二十六条第一款规定的情形致使劳动合同无效的；（六）法律、行政法规规定劳动者可以解除劳动合同的其他情形。
劳动法,用人单位可以随意辞退员工吗？,不可以。根据《劳动合同法》规定，用人单位单方解除劳动合同需要法定事由。合法解雇包括：劳动者在试用期间被证明不符合录用条件、严重违反用人单位规章制度、严重失职给用人单位造成重大损害、劳动者被依法追究刑事责任等情形。否则属于违法解除，需支付双倍经济补偿金。
劳动法,经济补偿金的计算标准是什么？,根据《劳动合同法》第四十七条：经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。劳动者月工资高于用人单位所在直辖市、设区的市级人民政府公布的本地区上年度职工月平均工资三倍的，向其支付经济补偿的标准按职工月平均工资三倍的数额支付。
劳动法,加班费应如何计算？,根据《劳动法》第四十四条：安排劳动者延长工作时间的，支付不低于工资的百分之一百五十的工资报酬；休息日安排劳动者工作又不能安排补休的，支付不低于工资的百分之二百的工资报酬；法定休假日安排劳动者工作的，支付不低于工资的百分之三百的工资报酬。
劳动法,未签劳动合同的法律后果是什么？,根据《劳动合同法》第八十二条：用人单位自用工之日起超过一个月不满一年未与劳动者订立书面劳动合同的，应当向劳动者每月支付二倍的工资。用人单位违反本法规定不与劳动者订立无固定期限劳动合同的，自应当订立无固定期限劳动合同之日起向劳动者每月支付二倍的工资。
劳动法,什么情况下可以认定为工伤？,根据《工伤保险条例》第十四条：在工作时间和工作场所内，因工作原因受到事故伤害的；工作时间前后在工作场所内，从事与工作有关的预备性或者收尾性工作受到事故伤害的；在工作时间和工作场所内，因履行工作职责受到暴力等意外伤害的；患职业病的；因工外出期间由于工作原因受到伤害或者发生事故下落不明的；在上下班途中受到非本人主要责任的交通事故或者城市轨道交通、客运轮渡、火车事故伤害的。
劳动法,女职工在孕期有哪些特殊保护？,根据《劳动法》第六十一条：不得安排女职工在怀孕期间从事国家规定的第三级体力劳动强度的劳动和孕期禁忌从事的劳动。对怀孕七个月以上的女职工，不得安排其延长工作时间和夜班劳动。根据《女职工劳动保护特别规定》：女职工生育享受98天产假，其中产前可以休假15天。
劳动法,竞业限制协议有效吗？,有效，但有严格限制。根据《劳动合同法》第二十三条、第二十四条：用人单位与劳动者可以在劳动合同中约定保守用人单位的商业秘密和与知识产权相关的保密事项。竞业限制的人员限于用人单位的高级管理人员、高级技术人员和其他负有保密义务的人员。竞业限制期限不得超过二年，且用人单位须在竞业限制期限内按月给予劳动者经济补偿。
劳动法,劳动者辞职需要提前多久通知？,根据《劳动合同法》第三十七条：劳动者提前三十日以书面形式通知用人单位，可以解除劳动合同。劳动者在试用期内提前三日通知用人单位，可以解除劳动合同。
民事诉讼法,民事诉讼的起诉条件是什么？,根据《民事诉讼法》第一百一十九条：起诉必须符合下列条件：（一）原告是与本案有直接利害关系的公民、法人和其他组织；（二）有明确的被告；（三）有具体的诉讼请求和事实、理由；（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。
民事诉讼法,民事诉讼的诉讼时效是多久？,根据《民法典》第一百八十八条：向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。诉讼时效期间自权利人知道或者应当知道权利被损害以及义务人之日起计算。自权利受到损害之日起超过二十年的，人民法院不予保护。
民事诉讼法,民事诉讼一审的审理期限是多长？,根据《民事诉讼法》第一百五十二条：人民法院适用普通程序审理的案件，应当在立案之日起六个月内审结。有特殊情况需要延长的，由本院院长批准，可以延长六个月；还需要延长的，报请上级人民法院批准。适用简易程序审理的案件，应当在立案之日起三个月内审结。
民事诉讼法,哪些证据可以作为民事诉讼的证据？,根据《民事诉讼法》第六十三条：证据包括：（一）当事人的陈述；（二）书证；（三）物证；（四）视听资料；（五）电子数据；（六）证人证言；（七）鉴定意见；（八）勘验笔录。证据必须查证属实，才能作为认定事实的根据。
民事诉讼法,民事诉讼的二审程序是什么？,根据《民事诉讼法》第一百六十四条：当事人不服地方人民法院第一审判决的，有权在判决书送达之日起十五日内向上一级人民法院提起上诉。当事人不服地方人民法院第一审裁定的，有权在裁定书送达之日起十日内向上一级人民法院提起上诉。二审法院对上诉案件应当组成合议庭开庭审理。
民事诉讼法,民事诉讼中可以申请财产保全吗？,可以。根据《民事诉讼法》第一百条：人民法院对于可能因当事人一方的行为或者其他原因，使判决难以执行或者造成当事人其他损害的案件，根据对方当事人的申请，可以裁定对其财产进行保全、责令其作出一定行为或者禁止其作出一定行为。当事人没有提出申请的，人民法院在必要时也可以裁定采取保全措施。
