qid,strategy,faithfulness,citation,completeness
Q1,B_纯稠密,0.0,0.0,2.0
Q1,C_混合无Rerank,2.0,1.0,3.0
Q1,D_混合+Rerank,2.0,1.0,3.0
Q2,B_纯稠密,4.0,5.0,4.0
Q2,C_混合无Rerank,4.0,5.0,4.0
Q2,D_混合+Rerank,3.0,4.5,4.0
Q3,B_纯稠密,3.0,2.0,4.0
Q3,C_混合无Rerank,2.0,1.0,4.0
Q3,D_混合+Rerank,3.0,2.0,4.0
Q4,B_纯稠密,3.0,2.0,4.0
Q4,C_混合无Rerank,3.0,2.0,4.0
Q4,D_混合+Rerank,4.0,5.0,4.0
Q5,B_纯稠密,2.0,1.0,3.0
Q5,C_混合无Rerank,0.0,0.0,2.0
Q5,D_混合+Rerank,0.0,0.0,0.0
Q6,B_纯稠密,0.0,0.0,0.0
Q6,C_混合无Rerank,0.0,0.0,0.0
Q6,D_混合+Rerank,0.0,0.0,3.0
Q7,B_纯稠密,5.0,5.0,3.0
Q7,C_混合无Rerank,0.0,0.0,2.0
Q7,D_混合+Rerank,3.0,5.0,2.0
Q8,B_纯稠密,0.0,0.0,3.0
Q8,C_混合无Rerank,0.0,0.0,3.0
Q8,D_混合+Rerank,1.0,0.0,3.0
